epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,23252.7,1.29971,1.17295,1.36845,0.61313,0.67816,0.69523,0.38149,1.56851,1.25365,1.47772,0.002575,0.002575,0.002575
77,23442.8,1.26148,1.14979,1.35336,0.60147,0.6745,0.67345,0.37458,1.55021,1.29008,1.46853,0.002476,0.002476,0.002476
78,23633.1,1.24877,1.17097,1.34479,0.60578,0.72482,0.69515,0.38071,1.53348,1.26181,1.46936,0.002377,0.002377,0.002377
79,23819.2,1.2473,1.14212,1.34433,0.6468,0.63506,0.68409,0.37461,1.5604,1.27883,1.47183,0.002278,0.002278,0.002278
80,24000.4,1.24622,1.15015,1.34909,0.63382,0.63584,0.68179,0.37368,1.54473,1.27016,1.46175,0.002179,0.002179,0.002179
81,24193.9,1.25488,1.15376,1.35912,0.56786,0.68419,0.66217,0.3545,1.56144,1.30864,1.49004,0.00208,0.00208,0.00208
82,24389.2,1.22664,1.13284,1.33633,0.59324,0.67776,0.67705,0.37,1.57179,1.27449,1.49372,0.001981,0.001981,0.001981
83,24578,1.2154,1.13225,1.32745,0.63122,0.68139,0.69362,0.37694,1.53164,1.26393,1.46334,0.001882,0.001882,0.001882
84,24770.4,1.23783,1.12811,1.33791,0.61309,0.67547,0.68657,0.37544,1.53387,1.2639,1.45483,0.001783,0.001783,0.001783
85,24957.4,1.2479,1.12823,1.34328,0.6098,0.66948,0.68112,0.37443,1.54384,1.27575,1.47649,0.001684,0.001684,0.001684
86,25145.4,1.22813,1.13314,1.34164,0.65892,0.66537,0.69266,0.38055,1.56907,1.27047,1.49901,0.001585,0.001585,0.001585
87,25333.6,1.24811,1.13396,1.35199,0.61407,0.69072,0.68773,0.3783,1.55491,1.2758,1.48016,0.001486,0.001486,0.001486
88,25521.4,1.25171,1.13522,1.34529,0.65154,0.65543,0.69587,0.39064,1.54096,1.24114,1.47176,0.001387,0.001387,0.001387
89,25709.5,1.25297,1.16602,1.36095,0.61053,0.67691,0.6972,0.39083,1.51999,1.23773,1.45854,0.001288,0.001288,0.001288
90,25897.9,1.23827,1.13541,1.3441,0.6023,0.71176,0.70567,0.38616,1.53476,1.24615,1.4635,0.001189,0.001189,0.001189
91,26085.6,1.26471,1.11047,1.34385,0.61044,0.68455,0.69984,0.38516,1.50596,1.26711,1.44595,0.00109,0.00109,0.00109
92,26273.2,1.2197,1.05891,1.33471,0.65741,0.67346,0.71656,0.38932,1.50144,1.23708,1.45408,0.000991,0.000991,0.000991
93,26460.9,1.21973,1.01825,1.33478,0.64549,0.66017,0.69294,0.38428,1.51416,1.27509,1.46427,0.000892,0.000892,0.000892
94,26648.6,1.20569,1.00793,1.31754,0.69104,0.67039,0.71621,0.39379,1.5325,1.22916,1.47469,0.000793,0.000793,0.000793
95,26845.5,1.20987,1.00294,1.31092,0.68379,0.67585,0.71399,0.40255,1.49893,1.22609,1.4504,0.000694,0.000694,0.000694
96,27033.3,1.19933,1.01008,1.32124,0.71318,0.66176,0.72712,0.39775,1.53782,1.22498,1.4691,0.000595,0.000595,0.000595
97,27221.1,1.19586,0.994,1.30811,0.68949,0.6636,0.70666,0.38896,1.5231,1.23322,1.46588,0.000496,0.000496,0.000496
98,27408.8,1.1866,0.99097,1.30427,0.64337,0.67274,0.70148,0.39643,1.50558,1.23486,1.44811,0.000397,0.000397,0.000397
99,27596.2,1.17348,0.97634,1.30158,0.70087,0.65496,0.70976,0.39915,1.50649,1.22548,1.45158,0.000298,0.000298,0.000298
100,27783.9,1.17967,0.97887,1.30206,0.66258,0.67854,0.7089,0.40004,1.51271,1.22554,1.45419,0.000199,0.000199,0.000199
